"horizon","response","shock","irf","lower","upper"
0,"y","demand",0.00733166349443008,0.00260025968594325,0.0114797208982053
1,"y","demand",0.00505677550713283,-0.92100803449106,-0.333246292693781
2,"y","demand",0.00455891419541543,0.00132785080408348,0.00944597862000551
3,"y","demand",0.00336085644602293,-0.249391591430152,0.417046720217431
4,"y","demand",0.00171185779966023,0.000486207432076857,0.00978721423306413
5,"y","demand",0.0011012928666686,-0.808424943571422,-0.258202470852947
6,"y","demand",0.000393750768080186,0.00521470886019419,0.0119999598747225
7,"y","demand",-5.72863584659374e-05,-0.446655419855982,0.162991529421835
8,"y","demand",-0.000320526837931874,-0.000104859857392937,0.00975047202390119
9,"y","demand",-0.000363888907548737,-0.745767785368678,-0.204835317836071
10,"y","demand",-0.000362492895816644,0.00658165109921902,0.0136023841061474
11,"y","demand",-0.000275338449456644,-0.524692449769097,0.0403750508108362
12,"y","demand",-0.000210617884389032,-0.00101025383733599,0.00847893967985623
13,"y","demand",-0.000132908021633059,-0.704133440768177,-0.180785270857726
14,"y","demand",-6.68798586598025e-05,0.00722798208842288,0.0141362043692454
15,"y","demand",-2.3871439990366e-05,-0.537396489422781,0.0177643463684084
16,"y","demand",3.82051123302652e-06,-0.00241268609214166,0.00687762147156238
17,"y","demand",1.68735552329093e-05,-0.654129970503261,-0.151115686018536
18,"y","demand",2.21493235899444e-05,0.0083476193804428,0.0150050352444639
19,"y","demand",2.08025091843458e-05,-0.553437772106357,-0.0176785878436828
20,"y","demand",1.66327386673894e-05,-0.00251717694491423,0.0057355412549726
21,"y","demand",1.11249003597929e-05,-0.573940116112064,-0.12839809302824
22,"y","demand",6.4425917082676e-06,0.0077133348965924,0.0145196179859208
23,"y","demand",2.60523155823901e-06,-0.51450949046732,-0.0147018353652754
24,"y","demand",-9.02969121683627e-08,-0.00302025193525471,0.00483641723432436
25,"y","demand",-1.72387187503347e-06,-0.499234957557707,-0.0986108423510949
26,"y","demand",-2.49063038716318e-06,0.00759280128786157,0.0145466951574147
27,"y","demand",-2.62800791389526e-06,-0.497646378631133,-0.0451243279614643
28,"y","demand",-2.4274855250574e-06,-0.00306355441846322,0.00386725773965308
29,"y","demand",-2.05031117365746e-06,-0.412173504933385,-0.0720505702011
30,"y","demand",-1.63085001703649e-06,0.00716272821463062,0.0142325438316076
31,"y","demand",-1.23779815820103e-06,-0.461163202832896,-0.044895723219456
32,"y","demand",-9.2177575795551e-07,-0.0030039386182508,0.00313099110463019
33,"y","demand",-6.88218031048958e-07,-0.360597194578588,-0.0540169769702659
34,"y","demand",-5.30314082466238e-07,0.00693573383727028,0.014050931995585
35,"y","demand",-4.3120087782486e-07,-0.420414260528901,-0.0319198438433815
36,"y","demand",-3.74528389286997e-07,-0.00276999779395054,0.00265351067238971
37,"y","demand",-3.45084833947198e-07,-0.318068944835352,-0.0365339923396825
38,"y","demand",-3.29861889790725e-07,0.00672117458229569,0.0138011013987741
39,"y","demand",-3.20277161901746e-07,-0.379575806874811,-0.0202533836261006
40,"y","demand",-3.11052035305725e-07,-0.00251744793564349,0.00226382310407406
41,"y","demand",-2.99834077044329e-07,-0.282413606795459,-0.0179990630240248
42,"y","demand",-2.85740653261899e-07,0.00648911574430704,0.0136640504580505
43,"y","demand",-2.69104506534448e-07,-0.348390050853553,-0.0171866536250651
44,"y","demand",-2.50752578412176e-07,-0.00223496456340177,0.0019727040903409
45,"y","demand",-2.31694021906763e-07,-0.260575655514766,-0.00752486272980988
46,"y","demand",-2.12785514728649e-07,0.00640649152025414,0.0135614022612115
47,"y","demand",-1.94665548135897e-07,-0.317928457076868,-0.00983259941976126
48,"y","demand",-1.77748637297045e-07,-0.00200441235734564,0.00184820525799482
49,"y","demand",-1.62241220700074e-07,-0.242125541491159,0.00332609985991245
50,"y","demand",-1.4818966931712e-07,0.00636637329260244,0.0135503951319046
0,"y","supply",0.00712099921215783,-0.298370688552661,-0.00582975915546595
1,"y","supply",0.0101688201281258,-0.00180740495966333,0.00166721920852885
2,"y","supply",0.0115716573596504,-0.230206607953444,0.00855119659190121
3,"y","supply",0.011934582058501,0.00637461464854768,0.013640786103194
4,"y","supply",0.0126704190004769,-0.280682281148114,-0.00158863684501282
5,"y","supply",0.0120524507940539,-0.00167324281362399,0.00147748982911438
6,"y","supply",0.011910729981501,-0.215125769594303,0.0144913409528922
7,"y","supply",0.011447052904625,0.00632308117046763,0.0137144961291955
8,"y","supply",0.0111395693985041,-0.267837641686462,-0.000403440817885068
