variable_1	variable_2	covariance
dc	dc	1.72947544659543e-05
dc	dy	3.44894897185495e-05
dc	dl	8.59736762629762e-06
dc	di	8.97210635602193e-05
dy	dy	7.06665026480603e-05
dy	dl	1.80885064647554e-05
dy	di	0.000186871453270125
dl	dl	4.74556941922887e-06
dl	di	4.85751948549531e-05
di	di	0.000498930280823158
