horizon	z	c	i	y	k	l	r	w
0	1	0.588978821514913	3.18588537917346	1.20551059419644	0.0796471344793364	0.308265886340761	1.20551059419644	0.897244707855674
1	0.985	0.622715969055246	3.07943407479428	1.20596559128106	0.15464180798721	0.291624811112906	1.12631845680172	0.914340780168152
2	0.970225	0.654098870944662	2.97712630206413	1.20560898049101	0.225203920339133	0.275755054773174	1.0509671725038	0.929853925717836
3	0.955671625	0.683243077036128	2.87878934437381	1.20448787431773	0.29154355594	0.260622398640803	0.979283953978601	0.943865475676931
4	0.941336550625	0.7102589206089	2.78425787580795	1.20264716177126	0.353861413936699	0.246194120581182	0.911103605831263	0.956453041190081
5	0.927216502365625	0.735251747840192	2.69337364190272	1.20012960758165	0.412349219635849	0.232438929870731	0.846268193644955	0.967690677710923
6	0.913308254830141	0.758322137269667	2.60598515423856	1.19697594705365	0.467190118000917	0.219326904891991	0.784626727417799	0.977649042161657
7	0.899608631007689	0.77956610969186	2.52194739826799	1.19322497676389	0.518559050007594	0.206829433536015	0.726034858762974	0.986395543227876
8	0.886114501542573	0.799075328892765	2.44112155380406	1.18891364128178	0.566623112602505	0.194919156194505	0.670354591274182	0.993994485087271
9	0.872822784019435	0.816937293628715	2.36337472762025	1.18407711608714	0.611541902977949	0.183569911229211	0.61745400348463	1.00050720485793
10	0.859730442259143	0.833235521228414	2.28857969763638	1.17874888685045	0.65346784784441	0.172756682811018	0.5672069838725	1.00599220403943
11	0.846834485625256	0.848049723182422	2.21661466818782	1.17296082523406	0.692546518352995	0.16245555102582	0.519492977389651	1.01050527420824
12	0.834131968340877	0.861455973068561	2.14736303589715	1.166743261366	0.728916931291599	0.152643644148717	0.474196743013001	1.01409961721728
13	0.821619988815764	0.873526867146605	2.08071316568855	1.16012505313138	0.762711837151523	0.143299092992389	0.431208121839783	1.01682596013899
14	0.809295688983527	0.884331677941079	2.01655817650445	1.15313365242015	0.794057995635346	0.134400987239536	0.390421815268629	1.01873266518062
15	0.797156253648774	0.893936501117221	1.95479573630411	1.14579516846375	0.823076439152065	0.125929333673263	0.351737172828402	1.01986583479048
16	0.785198909844043	0.902404395941814	1.89532786594106	1.13813442838768	0.84988272482179	0.117865016222931	0.315057989235612	1.02026941216475
17	0.773420926196382	0.909795519608015	1.83806075153439	1.13017503510133	0.874587175489605	0.110189757746656	0.280292310279536	1.01998527735467
18	0.761819612303436	0.916167255691104	1.78290456496559	1.12193942264116	0.897295110226504	0.102886083475028	0.247352247151557	1.01905333916613
19	0.750392318118885	0.921574336990543	1.72977329214822	1.11344890907834	0.918107064774547	0.0959372860438972	0.216153798851833	1.01751162303444
20	0.739136433347101	0.926068963002578	1.67858456873347	1.10472374709696	0.93711900237352	0.0893273920471915	0.186616682322413	1.01539635504977
21	0.728049386846895	0.929700912257064	1.629259522929	1.09578317234464	0.954422515387407	0.0830411300437903	0.158664169971125	1.01274204230085
22	0.717128646044191	0.932517649742006	1.58172262512257	1.0866454496525	0.970105018130786	0.0770638999552464	0.132222934265092	1.00958154969725
23	0.706371716353529	0.934564429629588	1.53590154401529	1.07732791721756	0.984249931277899	0.0713817437939863	0.107222899086775	1.00594617342357
24	0.695776140608226	0.935884393508221	1.49172700898222	1.06784702883658	0.996936858220507	0.0659813176641798	0.0835970975586818	1.0018657111724
25	0.685339498499102	0.936518664316196	1.44913267839014	1.0582183942762	1.00824175372475	0.0608498649800003	0.0612815360556902	0.997368529296197
26	0.675059406021616	0.936506436164078	1.40805501361427	1.04845681786089	1.01823708522199	0.0559751908484044	0.040215064136139	0.992481627012482
27	0.664933514931291	0.935885060224804	1.3684331585068	1.0385763353565	1.02699198705411	0.0513456375658479	0.0203392501345139	0.987230697790652
28	0.654959512207322	0.934690126862713	1.33020882408057	1.02859024922379	1.03457240797977	0.0469500611805368	0.00159826216968129	0.98164018804325
29	0.645135119524212	0.932955544165259	1.29332617818214	1.01851116231315	1.04104125223483	0.0427778090739464	-0.0160612456666154	0.975733353239206
30	0.635458092731349	0.930713613034052	1.25773173993759	1.0083510100687	1.0464585144274	0.0388186985173259	-0.032690242166123	0.969532311551378
31	0.625926221340379	0.927995098985085	1.22337427876416	0.998121091306736	1.05088140853581	0.0350629961608253	-0.0483374231206597	0.963058095145911
32	0.616537328020273	0.924829300801465	1.19020471774996	0.987832097630963	1.05436449126617	0.0315013984147491	-0.0630493109048516	0.956330699216214
33	0.607289268099969	0.92124411617574	1.15817604121207	0.977494141544077	1.05695978001482	0.0281250126841688	-0.0768703497220908	0.949369128859909
34	0.598179929078469	0.917266104472984	1.12724320625206	0.967116783312622	1.05871686567075	0.0249253394198189	-0.0898429967021943	0.942191443892803
35	0.589207230142292	0.912920546740058	1.09736305813563	0.956709056639726	1.05968302048237	0.0218942549498338	-0.102007809031021	0.934814801689892
36	0.580369121690158	0.908231503081052	1.06849424933042	0.946279493197809	1.05990330120357	0.0190239950583782	-0.11340352728456	0.92725549813943
37	0.571663584864806	0.903221867513671	1.04059716204366	0.935836146071151	1.05942064772457	0.0163071392787402	-0.12406715513242	0.919529006792411
38	0.563088631091833	0.897913420416349	1.01363383410768	0.925386612156017	1.05827597738415	0.0137365958698344	-0.134034035568555	0.911650016286183
39	0.554642301625456	0.892326878671114	0.987567888068384	0.914938053563991	1.05650827515126	0.0113055874464385	-0.14333792382016	0.903632466117552
40	0.546322667101074	0.886481943602629	0.962364463337737	0.904497218072115	1.05415467985592	0.00900763723474307	-0.152011057079142	0.895489580837372
