date	cY	cC	cL	cI
2007-01-01	0.00355308219343264	0.00388126167780278	0.0010807504386019	0.0719747147532814
2007-04-01	0.00898868001721809	0.00552428429976182	0.00432310194044394	0.0965389817596396
2007-07-01	0.014066805359251	0.0111794056764172	0.00465356776580395	0.103115841657154
2007-10-01	0.0196538558263981	0.0141297505352931	0.00497998071440398	0.0981691581072006
2008-01-01	0.0146747255588053	0.0117378219483815	0.00529605489865181	0.0788995865906506
2008-04-01	0.0198533931654179	0.0134338746264149	0.00559239194301142	0.0803214318246681
2008-07-01	0.0137353216726979	0.00456399695252685	0.00294507323018101	0.0731542337027351
2008-10-01	-0.00939392221078172	-0.00571152430670985	-0.00268765436215546	0.00239302001368191
2009-01-01	-0.0220066468336064	-0.00963891243349657	-0.00842147550525585	-0.126449930961694
2009-04-01	-0.0252503168965781	-0.0161488543925046	-0.011310196714446	-0.199445212044824
2009-07-01	-0.0234960310864185	-0.0112363213126585	-0.0113388652173421	-0.208636173251386
2009-10-01	-0.0148159761969531	-0.0143690355286505	-0.00851151326040922	-0.126247391121493
2010-01-01	-0.0123823280605819	-0.0108659361220962	-0.00873351009421786	-0.108713032380659
2010-04-01	-0.00548094877342287	-0.00447065441244021	-0.00315989967818942	-0.0602634603857144
2010-07-01	-0.000847942956587744	-0.000154602592036923	-0.000613329355478864	-0.0269655289755617
2010-10-01	0.00103229513838698	0.0029202373088637	0.00186756894332518	-0.0349552965724476
2011-01-01	-0.00499658815268944	0.00344689058906944	0.00138782574267671	-0.0604265513177413
2011-04-01	-0.00219313577330738	0.000950947457628359	0.00379338507481286	-0.0325061037510501
2011-07-01	-0.00662699631375041	0.000235253357461218	0.00327598285517094	-0.0357457450071195
2011-10-01	7.48850664233913e-05	-0.00204184479574465	0.00275861475589156	0.0237554889565388
2012-01-01	0.00372446222872824	0.00090670211415933	0.00515377841033349	0.0321198884813008
2012-04-01	0.00326107573163803	-0.00180902091231694	0.00176120868578478	0.0410839398833449
2012-07-01	-0.000414338044464557	-0.00449813453292691	0.00129397728579939	0.0256033529955415
2012-10-01	-0.00455556779018451	-0.00546323342677191	0.000853016526656702	0.00473138760074487
2013-01-01	-0.000201781188316374	-0.00415528491306105	0.00334396930475744	0.0259895439206543
2013-04-01	-0.00314031974079754	-0.00668952466290662	6.09067493297921e-05	0.0192472831204187
2013-07-01	-0.000402826698442382	-0.00823790536735025	-0.000287632043444841	0.0398922391712846
2013-10-01	0.00242807349843588	-0.00526040815683793	-0.000604184675951025	0.0356458713298986
2014-01-01	-0.00696493929588016	-0.0076338459935279	-0.000888349322583526	0.0134419339888172
2014-04-01	-0.000133203932618287	-0.00418964679914069	0.00176341311564965	0.0412413075098055
2014-07-01	0.00589944677513898	-0.000590612257550305	0.00154691798218121	0.0507809719529284
2014-10-01	0.00487590314196318	0.00453873465576038	0.00425951548749559	0.0437036835860969
2015-01-01	0.00777241290700736	0.00579540156820713	0.00121739725491965	0.0619895720453929
2015-04-01	0.00789658904224488	0.0062342604322847	0.00110024086878457	0.0494831969934282
2015-07-01	0.00586986674500167	0.00683403563630769	0.00390388896104099	0.0387694441335054
2015-10-01	0.00172874309517823	0.00448583622002729	0.000940422434003718	0.0167188432596923
2016-01-01	0.00156367760764198	0.00563358459093877	0.00088563041757217	-0.00665063403603838
2016-04-01	-0.00113044149429697	0.00425627302083598	-0.00206547748579711	-0.0189620676464379
