variable_1	variable_2	covariance
dY	dY	0.000207400256378983
dY	dC	0.00021697578056559
dY	dL	3.07585726049673e-06
dY	dI	0.000478054488801967
dC	dC	0.000248971187859229
dC	dL	1.14434291208547e-06
dC	dI	0.00044528048942594
dL	dL	6.75133095682008e-06
dL	dI	2.57321195418863e-05
dI	dI	0.00180724814880922
