variable_1	variable_2	covariance
cY	cY	0.000189462458571033
cY	cC	0.000197795571474842
cY	cL	1.86335832605798e-05
cY	cI	0.000657208170768506
cC	cC	0.000243421701781899
cC	cL	1.62011701801555e-05
cC	cI	0.000572742372573698
cL	cL	1.75092006212045e-05
cL	cI	0.000149673379307655
cI	cI	0.00382694193266873
