t	c_star	i_star	y_star	l_star	c	i	y	l	k_lag	z	w	e_c	e_i	e_y	e_l
1	-3.35602776952685	-2.86851007506307	-2.85730349617394	-0.72242896534031	-2.9000435294382	-3.17039781377168	-2.96422699935595	-0.0320917349588746	-4.19245627820923	-1.54534708331362	-0.799479243675173	-0.455984240088654	0.301887738708607	0.106923503182013	-0.690337230381435
2	-3.01062678899552	-5.21042058726578	-3.92391201114086	-0.520049776160963	-3.26916476298162	-5.22840768972611	-3.73430745479449	-0.232571345906434	-4.16690481659829	-2.19029161865743	0.740926095977368	0.258537973986097	0.017987102460326	-0.189604556346377	-0.287478430254529
3	-3.27839241866907	-2.55769399460847	-2.58053490947349	-0.552654931739097	-2.71430697548066	-2.16996044800543	-2.58507224769439	0.0646173638931336	-4.19344238842648	-1.23033636081432	-0.303029515506396	-0.564085443188413	-0.387733546603034	0.00453733822090524	-0.617272295632231
4	-2.95562281139459	-3.57342537852583	-3.35728980735536	-0.117603905640868	-2.7967325647233	-2.76231336098096	-2.78855974795526	0.00408640838402025	-4.14285533991596	-1.41033224023929	1.54449147580984	-0.158890246671287	-0.811112017544877	-0.568730059400102	-0.121690314024888
5	-1.63102638115029	2.73446252923741	-1.1110261764288	0.953926337187334	-1.78405951076606	2.57424597696115	-0.749352450446537	0.517353530159764	-4.10834179044258	0.275192459594481	0.424416779575045	0.153033129615777	0.160216552276258	-0.361673725982263	0.43657280702757
6	-0.844420653292427	4.29731857663532	0.220037182260696	0.231062472383834	-1.47028898905857	3.76507658802142	-0.227359063784343	0.621464962637112	-3.94127709625749	0.672089993210078	0.212347522984554	0.625868335766141	0.532241988613892	0.44739624604504	-0.390402490253278
7	-1.05451866805041	4.35792749300541	-0.67566630768857	0.47879821502491	-1.29320628491314	4.14608159404876	-0.00186320930825035	0.645671537802446	-3.74861825415052	0.817228516873624	1.29765187630962	0.238687616862731	0.211845898956653	-0.67380309838032	-0.166873322777536
8	-0.584974526146324	8.29012878395986	1.51602491161635	0.501557456713585	-0.480944796175379	7.92445585626723	1.51458333135874	0.99776406376706	-3.55125075794553	2.03315754149588	0.963217605596277	-0.104029729970945	0.365672927692623	0.0014415802576056	-0.496206607053475
9	0.4611247603754	10.2765497955685	2.61203524508793	1.89292903010566	0.104178868508153	10.2180734491418	2.50532060886467	1.20057087017826	-3.26435809259022	2.79305939294257	0.0683361190868302	0.356945891867247	0.0584763464266236	0.106714636223258	0.692358159927402
10	0.390092733097687	10.1633073255098	2.44382938273377	1.66712439120394	0.139189292237611	9.40880696245628	2.33989106096045	1.10035088436142	-2.92729730404691	2.58208957273514	-0.516100043290474	0.250903440860076	0.754500363053523	0.103938321773315	0.566773506842516
