"h","X1","X2","X3","X4"
0,0,0,0,0.87602973738302
1,0.0137851106255301,0.0569414690342037,0.000157319783005814,0.749603844715381
2,0.100537752451515,0.0659913387154806,0.00182192621755716,0.572781830776592
3,0.11394565568282,0.0585060052561491,0.00197592063691202,0.448889075520836
4,0.116194814167138,0.0456866417020617,0.00823836042022734,0.409481555402486
5,0.13512755552864,0.0576038039255682,0.0341365062044426,0.375470892768104
6,0.138835331276597,0.0517699051755214,0.0385589880287863,0.330533843456596
7,0.140044274744466,0.0453829962888592,0.0383039392357372,0.284121820538911
8,0.138037687455535,0.0410812159805458,0.0379873784086036,0.254698337515547
9,0.13674254111092,0.0387003151209426,0.0399010018649112,0.239268201042772
10,0.135841952231055,0.0382868622083286,0.0399162261784502,0.224928893890455
11,0.135955753012407,0.0385225673771126,0.0405626862129965,0.211315081138162
12,0.136919352476482,0.0406285254565317,0.0402994725764964,0.200473947150088
13,0.13758726681461,0.0430738708110127,0.0401931179651964,0.193207963687592
14,0.138950846430166,0.0452902618021706,0.0402204138776346,0.188055903772821
15,0.140375347685778,0.0472612428692286,0.0402273086803614,0.183682085446921
16,0.141000597376023,0.0491929417766901,0.0402331892331154,0.179631281028682
17,0.141767165751017,0.0507781735846659,0.0401891833806403,0.176318304137575
18,0.142092474871388,0.052117940616169,0.0402351644470157,0.173743101851579
19,0.142020320794454,0.0530762117791494,0.040238182626953,0.171517011609676
20,0.141912010291705,0.0539241350863419,0.0402496685212331,0.169418391362437
