horizon	c	y	l	k	i	z	g
0	0.780218715058041	1.10989064247098	0.164835963706469	0	2.8261119328104	1	0
1	0.811634185470178	1.10700930642504	0.147687560477431	0.0706527983202599	2.73953025693826	0.985	0
2	0.840826236360116	1.1036117492128	0.131392756426341	0.13737473478571	2.65604302515739	0.970225	0
3	0.867899421475188	1.09972844778491	0.115914513154859	0.200341442045002	2.57553084939238	0.955671625	0
4	0.892953832850635	1.09538849812653	0.101217332637945	0.259721177228686	2.49787909767886	0.941336550625	0
5	0.916085285312654	1.09061967351208	0.0872671940997134	0.315675125239941	2.42297770232331	0.927216502365625	0
6	0.937385493436001	1.08544848036072	0.0740314934623608	0.368357689667025	2.3507209758372	0.913308254830141	0
7	0.956942241263467	1.07990021179044	0.0614789852634856	0.417916771821279	2.28100743432966	0.899608631007689	0
8	0.974839545082077	1.07399899896482	0.0495797269413692	0.464494038383989	2.21373962805602	0.886114501542573	0
9	0.991157809538852	1.06776786032262	0.0383050253918843	0.508225178125789	2.14882397883174	0.872822784019435	0
10	1.00597397736748	1.06122874877669	0.0276273857046037	0.549240148143438	2.08617062403304	0.859730442259143	0
11	1.01936167298623	1.05440259696511	0.0175204619894424	0.587663410040678	2.02569326691685	0.846834485625256	0
12	1.03139134021671	1.04730936063425	0.0079590102087729	0.623614156462582	1.96730903300365	0.834131968340877	0
13	1.04213037436326	1.03996806023007	-0.0010811570665927	0.657206528376109	1.91093833227699	0.821619988815764	0
14	1.05164324888252	1.03239682077085	-0.00962321405583724	0.688549823473631	1.85650472696381	0.809295688983527	0
15	1.05999163686386	1.02461291007167	-0.0176893633960944	0.717748696060885	1.80393480466886	0.797156253648774	0
16	1.06723452753204	1.01663277538809	-0.025300876071975	0.744903348776085	1.75315805664607	0.785198909844043	0
17	1.07342833797504	1.00847207854347	-0.0324781297157847	0.770109716472834	1.70410676099835	0.773420926196382	0
18	1.07862702029175	1.00014572960227	-0.0392406453447411	0.793459642585972	1.65671587060576	0.761819612303436	0
19	1.08288216434612	0.991667919148502	-0.0456071225988072	0.815041048286467	1.61092290559032	0.750392318118885	0
20	1.08624309630701	0.983052149226679	-0.0515954735401652	0.834938094719063	1.56666785013322	0.739136433347101	0
21	1.08875697314554	0.974311262999781	-0.0572228550728793	0.853231338604417	1.52389305346794	0.728049386846895	0
22	1.09046887325474	0.965457473176919	-0.0625057000389106	0.869997881476005	1.48254313487974	0.717128646044191	0
23	1.09142188334972	0.956502389260983	-0.0674597470443676	0.885311512811098	1.4425648925491	0.706371716353529	0
24	1.09165718179998	0.94745704366462	-0.0721000690676821	0.899242847304548	1.40390721608297	0.695776140608226	0
25	1.0912141185395	0.938331916740906	-0.0764411008992988	0.911859456524009	1.36652100258446	0.685339498499102	0
26	1.09013029169406	0.929136960773155	-0.0804966654604516	0.92322599517552	1.33035907611713	0.675059406021616	0
27	1.08844162105986	0.919881622966535	-0.0842799990466645	0.93340432219906	1.29537611042649	0.664933514931291	0
28	1.08618241856192	0.910574867482398	-0.0878037755397585	0.942453616904746	1.26152855478632	0.654959512207322	0
29	1.08338545581529	0.901225196554564	-0.0910801296303655	0.950430490351786	1.22877456284316	0.645135119524212	0
30	1.0800820289077	0.891840670725209	-0.0941206790912443	0.95738909216407	1.19707392433744	0.635458092731349	0
31	1.07630202051658	0.882428928236479	-0.0969365461400522	0.963381212968404	1.16638799958447	0.625926221340379	0
32	1.07207395946975	0.872997203612439	-0.0995383779286542	0.968456382633806	1.13667965660332	0.616537328020273	0
33	1.06742507785371	0.863552345464619	-0.101936366194547	0.972661964483043	1.10791321078642	0.607289268099969	0
34	1.06238136577004	0.854100833552997	-0.104140266108523	0.976043245640628	1.08005436700659	0.598179929078469	0
35	1.05696762383564	0.844648795133009	-0.106159414351314	0.978643523674777	1.05307016406287	0.589207230142292	0
36	1.05120751351915	0.8352020206179	-0.108002746450627	0.980504189684479	1.02692892137015	0.580369121690158	0
37	1.04512360540194	0.825765978584548	-0.109678813408696	0.981664807976621	1.00160018780176	0.571663584864806	0
38	1.03873742544827	0.816345830149741	-0.111195797649263	0.98216319247225	0.977054692597658	0.563088631091833	0
39	1.03206949936619	0.80694644274278	-0.112561528311706	0.982035479975385	0.953264298254504	0.554642301625456	0
40	1.0251393951371	0.79757240329924	-0.113783495918932	0.981316200432363	0.930201955317266	0.546322667101074	0
