horizon	variable	shock	response
0	c	tech	0.780218715058041
1	c	tech	0.811634185470178
2	c	tech	0.840826236360116
3	c	tech	0.867899421475188
4	c	tech	0.892953832850635
5	c	tech	0.916085285312654
6	c	tech	0.937385493436001
7	c	tech	0.956942241263467
8	c	tech	0.974839545082077
9	c	tech	0.991157809538852
10	c	tech	1.00597397736748
11	c	tech	1.01936167298623
12	c	tech	1.03139134021671
13	c	tech	1.04213037436326
14	c	tech	1.05164324888252
15	c	tech	1.05999163686386
16	c	tech	1.06723452753204
17	c	tech	1.07342833797504
18	c	tech	1.07862702029175
19	c	tech	1.08288216434612
20	c	tech	1.08624309630701
21	c	tech	1.08875697314554
22	c	tech	1.09046887325474
23	c	tech	1.09142188334972
24	c	tech	1.09165718179998
25	c	tech	1.0912141185395
26	c	tech	1.09013029169406
27	c	tech	1.08844162105986
28	c	tech	1.08618241856192
29	c	tech	1.08338545581529
30	c	tech	1.0800820289077
31	c	tech	1.07630202051658
32	c	tech	1.07207395946975
33	c	tech	1.06742507785371
34	c	tech	1.06238136577004
35	c	tech	1.05696762383564
36	c	tech	1.05120751351915
37	c	tech	1.04512360540194
38	c	tech	1.03873742544827
39	c	tech	1.03206949936619
40	c	tech	1.0251393951371
0	y	tech	1.10989064247098
1	y	tech	1.10700930642504
2	y	tech	1.1036117492128
3	y	tech	1.09972844778491
4	y	tech	1.09538849812653
5	y	tech	1.09061967351208
6	y	tech	1.08544848036072
7	y	tech	1.07990021179044
8	y	tech	1.07399899896482
9	y	tech	1.06776786032262
10	y	tech	1.06122874877669
11	y	tech	1.05440259696511
12	y	tech	1.04730936063425
13	y	tech	1.03996806023007
14	y	tech	1.03239682077085
15	y	tech	1.02461291007167
16	y	tech	1.01663277538809
17	y	tech	1.00847207854347
18	y	tech	1.00014572960227
19	y	tech	0.991667919148502
20	y	tech	0.983052149226679
21	y	tech	0.974311262999781
22	y	tech	0.965457473176919
23	y	tech	0.956502389260983
24	y	tech	0.94745704366462
25	y	tech	0.938331916740906
26	y	tech	0.929136960773155
27	y	tech	0.919881622966535
28	y	tech	0.910574867482398
29	y	tech	0.901225196554564
30	y	tech	0.891840670725209
31	y	tech	0.882428928236479
32	y	tech	0.872997203612439
33	y	tech	0.863552345464619
34	y	tech	0.854100833552997
35	y	tech	0.844648795133009
36	y	tech	0.8352020206179
37	y	tech	0.825765978584548
38	y	tech	0.816345830149741
39	y	tech	0.80694644274278
40	y	tech	0.79757240329924
0	l	tech	0.164835963706469
1	l	tech	0.147687560477431
2	l	tech	0.131392756426341
3	l	tech	0.115914513154859
4	l	tech	0.101217332637945
5	l	tech	0.0872671940997134
6	l	tech	0.0740314934623608
7	l	tech	0.0614789852634856
8	l	tech	0.0495797269413692
9	l	tech	0.0383050253918843
10	l	tech	0.0276273857046037
11	l	tech	0.0175204619894424
12	l	tech	0.0079590102087729
13	l	tech	-0.0010811570665927
14	l	tech	-0.00962321405583724
15	l	tech	-0.0176893633960944
16	l	tech	-0.025300876071975
17	l	tech	-0.0324781297157847
18	l	tech	-0.0392406453447411
19	l	tech	-0.0456071225988072
20	l	tech	-0.0515954735401652
21	l	tech	-0.0572228550728793
22	l	tech	-0.0625057000389106
23	l	tech	-0.0674597470443676
24	l	tech	-0.0721000690676821
25	l	tech	-0.0764411008992988
26	l	tech	-0.0804966654604516
27	l	tech	-0.0842799990466645
28	l	tech	-0.0878037755397585
29	l	tech	-0.0910801296303655
30	l	tech	-0.0941206790912443
31	l	tech	-0.0969365461400522
32	l	tech	-0.0995383779286542
33	l	tech	-0.101936366194547
34	l	tech	-0.104140266108523
35	l	tech	-0.106159414351314
36	l	tech	-0.108002746450627
37	l	tech	-0.109678813408696
38	l	tech	-0.111195797649263
39	l	tech	-0.112561528311706
40	l	tech	-0.113783495918932
0	k	tech	0
1	k	tech	0.0706527983202599
2	k	tech	0.13737473478571
3	k	tech	0.200341442045002
4	k	tech	0.259721177228686
5	k	tech	0.315675125239941
6	k	tech	0.368357689667025
7	k	tech	0.417916771821279
8	k	tech	0.464494038383989
9	k	tech	0.508225178125789
10	k	tech	0.549240148143438
11	k	tech	0.587663410040678
12	k	tech	0.623614156462582
13	k	tech	0.657206528376109
14	k	tech	0.688549823473631
15	k	tech	0.717748696060885
16	k	tech	0.744903348776085
17	k	tech	0.770109716472834
18	k	tech	0.793459642585972
19	k	tech	0.815041048286467
20	k	tech	0.834938094719063
21	k	tech	0.853231338604417
22	k	tech	0.869997881476005
23	k	tech	0.885311512811098
24	k	tech	0.899242847304548
25	k	tech	0.911859456524009
26	k	tech	0.92322599517552
27	k	tech	0.93340432219906
28	k	tech	0.942453616904746
29	k	tech	0.950430490351786
30	k	tech	0.95738909216407
31	k	tech	0.963381212968404
32	k	tech	0.968456382633806
33	k	tech	0.972661964483043
34	k	tech	0.976043245640628
35	k	tech	0.978643523674777
36	k	tech	0.980504189684479
37	k	tech	0.981664807976621
38	k	tech	0.98216319247225
39	k	tech	0.982035479975385
40	k	tech	0.981316200432363
0	i	tech	2.8261119328104
1	i	tech	2.73953025693826
2	i	tech	2.65604302515739
3	i	tech	2.57553084939238
4	i	tech	2.49787909767886
5	i	tech	2.42297770232331
6	i	tech	2.3507209758372
7	i	tech	2.28100743432966
8	i	tech	2.21373962805602
9	i	tech	2.14882397883174
10	i	tech	2.08617062403304
11	i	tech	2.02569326691685
12	i	tech	1.96730903300365
13	i	tech	1.91093833227699
14	i	tech	1.85650472696381
15	i	tech	1.80393480466886
16	i	tech	1.75315805664607
17	i	tech	1.70410676099835
18	i	tech	1.65671587060576
19	i	tech	1.61092290559032
20	i	tech	1.56666785013322
21	i	tech	1.52389305346794
22	i	tech	1.48254313487974
23	i	tech	1.4425648925491
24	i	tech	1.40390721608297
25	i	tech	1.36652100258446
26	i	tech	1.33035907611713
27	i	tech	1.29537611042649
28	i	tech	1.26152855478632
29	i	tech	1.22877456284316
30	i	tech	1.19707392433744
31	i	tech	1.16638799958447
32	i	tech	1.13667965660332
33	i	tech	1.10791321078642
34	i	tech	1.08005436700659
35	i	tech	1.05307016406287
36	i	tech	1.02692892137015
37	i	tech	1.00160018780176
38	i	tech	0.977054692597658
39	i	tech	0.953264298254504
40	i	tech	0.930201955317266
0	z	tech	1
1	z	tech	0.985
2	z	tech	0.970225
3	z	tech	0.955671625
4	z	tech	0.941336550625
5	z	tech	0.927216502365625
6	z	tech	0.913308254830141
7	z	tech	0.899608631007689
8	z	tech	0.886114501542573
9	z	tech	0.872822784019435
10	z	tech	0.859730442259143
11	z	tech	0.846834485625256
12	z	tech	0.834131968340877
13	z	tech	0.821619988815764
14	z	tech	0.809295688983527
15	z	tech	0.797156253648774
16	z	tech	0.785198909844043
17	z	tech	0.773420926196382
18	z	tech	0.761819612303436
19	z	tech	0.750392318118885
20	z	tech	0.739136433347101
21	z	tech	0.728049386846895
22	z	tech	0.717128646044191
23	z	tech	0.706371716353529
24	z	tech	0.695776140608226
25	z	tech	0.685339498499102
26	z	tech	0.675059406021616
27	z	tech	0.664933514931291
28	z	tech	0.654959512207322
29	z	tech	0.645135119524212
30	z	tech	0.635458092731349
31	z	tech	0.625926221340379
32	z	tech	0.616537328020273
33	z	tech	0.607289268099969
34	z	tech	0.598179929078469
35	z	tech	0.589207230142292
36	z	tech	0.580369121690158
37	z	tech	0.571663584864806
38	z	tech	0.563088631091833
39	z	tech	0.554642301625456
40	z	tech	0.546322667101074
0	g	tech	0
1	g	tech	0
2	g	tech	0
3	g	tech	0
4	g	tech	0
5	g	tech	0
6	g	tech	0
7	g	tech	0
8	g	tech	0
9	g	tech	0
10	g	tech	0
11	g	tech	0
12	g	tech	0
13	g	tech	0
14	g	tech	0
15	g	tech	0
16	g	tech	0
17	g	tech	0
18	g	tech	0
19	g	tech	0
20	g	tech	0
21	g	tech	0
22	g	tech	0
23	g	tech	0
24	g	tech	0
25	g	tech	0
26	g	tech	0
27	g	tech	0
28	g	tech	0
29	g	tech	0
30	g	tech	0
31	g	tech	0
32	g	tech	0
33	g	tech	0
34	g	tech	0
35	g	tech	0
36	g	tech	0
37	g	tech	0
38	g	tech	0
39	g	tech	0
40	g	tech	0
