horizon	variable	shock	response
30	i	gov	-0.0223687295952791
31	i	gov	-0.0201553071732201
32	i	gov	-0.0180970520738681
33	i	gov	-0.0161843977691008
34	i	gov	-0.0144083295342551
35	i	gov	-0.012760353872117
36	i	gov	-0.0112324695870454
37	i	gov	-0.0098171404217927
38	i	gov	-0.00850726917415671
39	i	gov	-0.00729617321493514
40	i	gov	-0.00617756133276338
0	z	gov	0
1	z	gov	0
2	z	gov	0
3	z	gov	0
4	z	gov	0
5	z	gov	0
6	z	gov	0
7	z	gov	0
8	z	gov	0
9	z	gov	0
10	z	gov	0
11	z	gov	0
12	z	gov	0
13	z	gov	0
14	z	gov	0
15	z	gov	0
16	z	gov	0
17	z	gov	0
18	z	gov	0
19	z	gov	0
20	z	gov	0
21	z	gov	0
22	z	gov	0
23	z	gov	0
24	z	gov	0
25	z	gov	0
26	z	gov	0
27	z	gov	0
28	z	gov	0
29	z	gov	0
30	z	gov	0
31	z	gov	0
32	z	gov	0
33	z	gov	0
34	z	gov	0
35	z	gov	0
36	z	gov	0
37	z	gov	0
38	z	gov	0
39	z	gov	0
40	z	gov	0
0	g	gov	1
1	g	gov	0.95
2	g	gov	0.9025
3	g	gov	0.857375
4	g	gov	0.81450625
5	g	gov	0.7737809375
6	g	gov	0.735091890625
7	g	gov	0.69833729609375
8	g	gov	0.663420431289062
9	g	gov	0.630249409724609
10	g	gov	0.598736939238379
11	g	gov	0.56880009227646
12	g	gov	0.540360087662637
13	g	gov	0.513342083279505
14	g	gov	0.487674979115529
15	g	gov	0.463291230159753
16	g	gov	0.440126668651765
17	g	gov	0.418120335219177
18	g	gov	0.397214318458218
19	g	gov	0.377353602535307
20	g	gov	0.358485922408542
21	g	gov	0.340561626288115
22	g	gov	0.323533544973709
23	g	gov	0.307356867725023
24	g	gov	0.291989024338772
25	g	gov	0.277389573121834
26	g	gov	0.263520094465742
27	g	gov	0.250344089742455
28	g	gov	0.237826885255332
29	g	gov	0.225935540992565
30	g	gov	0.214638763942937
31	g	gov	0.20390682574579
32	g	gov	0.193711484458501
33	g	gov	0.184025910235576
34	g	gov	0.174824614723797
35	g	gov	0.166083383987607
36	g	gov	0.157779214788227
37	g	gov	0.149890254048815
38	g	gov	0.142395741346375
39	g	gov	0.135275954279056
40	g	gov	0.128512156565103
