t	k_lag_pred	z_pred	k_lag_filt	z_filt
1	0	0	-4.30556864866541	-1.51449959504796
2	-4.27254764771018	-1.37549598856955	-4.11178225474387	-2.19298629677133
3	-4.13918539389019	-1.99170991135289	-4.25327778959617	-1.4026403824163
4	-4.21327999026044	-1.27390342376301	-4.23704483160886	-1.70274267134489
5	-4.22131121623978	-1.54646176311914	-4.24599043605485	0.252365928453128
6	-4.0756108114348	0.229203311360354	-3.92952278563543	0.867954219493561
7	-3.72176509530189	0.788291757276833	-3.76207785366683	0.811841315603821
8	-3.56468300264003	0.737329000693935	-3.58385028998043	2.08937327805296
9	-3.29192738973629	1.89760668935355	-3.26176454972499	2.84601268462175
10	-2.9215286119843	2.58480031550705	-2.93187490316231	2.82461492951897
11	-2.60501782942434	2.56536648640303	-2.71325442003298	1.86194436986565
12	-2.47013391388166	1.69105163188159	-2.46077854822927	2.74305757116495
13	-2.15705284465414	2.49129461499344	-2.09645083709266	2.26808861033043
14	-1.8431275552997	2.0599191940563	-1.848523988458	2.70377571747037
15	-1.5695945951864	2.45561812332771	-1.59632762246543	4.81434210581927
16	-1.15973465536812	4.37247277966171	-1.175568793394	5.48213260209193
17	-0.7011727223072	4.97897221474332	-0.725646195390319	4.82108700322008
18	-0.319373842972477	4.3785986177593	-0.292058396639157	4.77616402819135
19	0.095303502330654	4.33779875743007	0.0995331166565296	4.92625858367936
20	0.484866681689626	4.47411735378688	0.47660219457222	4.45312822057895
21	0.811226973200528	4.04441178064378	0.821833896006824	5.30461133076745
22	1.21143813341077	4.81774417784519	1.19661763669344	4.61816068474845
23	1.51875535827762	4.1942972564743	1.49633548151541	3.73883301243355
24	1.73844168817312	3.39567592315592	1.73489597788017	4.2162013980688
25	2.0062303628353	3.82923054519623	1.99711256388463	4.01759520497964
26	2.24347793712726	3.6488528001031	2.26385437449494	3.62015587750651
27	2.46939523268729	3.28789119771868	2.48521634735831	2.73808118618466
28	2.61328543065163	2.4867749719375	2.6210995602161	1.56916112298841
29	2.65208334207769	1.42514057920333	2.6477505881826	1.50359938304338
30	2.67261477709269	1.36559621841716	2.65958901887046	0.454695610662996
31	2.60123713585307	0.412962796776006	2.59757676973619	-0.329555203268555
32	2.47951647295695	-0.299308010111264	2.46244705773278	-1.26503633274691
33	2.27533174117908	-1.14892893123091	2.26466419782747	0.496677256259678
34	2.22362054867548	0.451091288391717	2.22007378929625	-2.06541596700835
35	1.97836809268789	-1.875848225141	1.97570085143281	-1.98869089762962
36	1.74871102434656	-1.80616512618327	1.74612075591314	-3.11276587400424
37	1.43853590724757	-2.82707039806995	1.44736985389469	-3.52916832796022
38	1.11750212845761	-3.20525465570842	1.1130001178421	-1.85888061530773
39	0.926827264688751	-1.68826907444932	0.922048043321668	-2.29684663597483
40	0.70807026009581	-2.08603775430049	0.715650206999335	-1.88391463750007
41	0.54158155386732	-1.71100542724592	0.545687968325189	-2.41871419690983
42	0.335426919598826	-2.19672008247737	0.347573688386308	-3.33442673073465
43	0.0720499691305491	-3.02838680663982	0.0709031002659655	-3.47109895236698
44	-0.205605056292568	-3.15251499605555	-0.197273171161261	-2.34746732279542
