t	v_c	v_i	v_y	v_l
1	-3.35602776952685	-2.86851007506307	-2.85730349617394	-0.72242896534031
2	-0.165808458690851	-2.65080550399572	-1.14680336958378	-0.553904620534758
3	-0.130622896386959	2.00325477106665	0.902737893359882	-0.384903291463467
4	-0.199306065994015	-1.30984439116644	-0.71795304928092	-0.176093899303936
5	1.29108955635824	5.85528087500157	1.85826410761554	0.977513510455242
6	0.953237335886703	1.87237873328426	1.015208626348	-0.27018080016208
7	0.242958832133196	0.315395247048459	-0.645960146044677	-0.155087454244946
8	0.668255908557214	4.47407818122407	1.56575769454369	-0.100191369174512
9	0.895349903071728	2.91083224863527	1.19447633457759	0.967037003502324
10	0.240146775482855	0.782421054338439	0.102366194272752	0.571365775780847
11	-0.771668867583536	-1.73498538917051	-2.05295853348349	-0.0739920368749493
12	0.669600672391639	3.34950660721246	1.38328540883015	0.282590898882224
13	1.13040293609455	-0.937600650752718	-0.599864586976049	0.860658454531647
14	0.0772842624374779	2.15659286901666	0.938413290583193	-0.618279351591793
15	1.39198333071062	7.83628025123975	2.25849157896937	0.915976352316276
16	0.156715786205956	3.51981804315032	1.65370621808688	0.805686039837525
17	-0.449296764524969	-0.200331912768705	-0.577549959476795	-0.976913764566128
18	0.903265881803152	1.05928069625783	0.564935396677616	0.751873711667122
19	0.509108579766106	1.98029369820693	0.557484090802686	-0.354378303416102
20	-0.571922574285848	-0.127179311572634	0.404536216007741	0.024297294472434
21	1.1051343143068	4.03060279548752	1.45452658827498	0.359228081125702
22	-0.253651398302969	-0.565599823677626	-0.578925115364149	0.754008135098505
23	-0.523692310731605	-1.01636337883754	-1.39053365767665	-0.989667687196984
24	0.065383629990551	2.72878098242123	1.20849567551282	-0.578269414464244
25	-0.430093631644833	0.72687550171092	0.343804289846486	-0.546232957164452
26	0.358571822128061	-0.309940683086838	0.531988614817893	-0.782169729541792
27	0.384024741849663	-2.041151547523	-0.49261263422943	0.469387759082953
28	-0.181137946552633	-2.95316685618385	-1.13634181899732	-1.02537834412978
29	-0.100518227518072	0.380572441325253	-0.0745333927751095	-0.326249330019573
30	-0.661589029090033	-2.66704741618814	-1.81242527581747	-0.0609110898991806
31	-0.751753414771034	-2.37190432697258	-0.756435827957764	-0.449964448378468
